Trajectory ID,Mol smiles,Molality,Monomer Molecular Weight,Degree of Polymerization,Density,CONDUCTIVITY,TFSI Diffusivity,Li Diffusivity,Poly Diffusivity,Transference Number,Mol_smiles_clean,is_valid,mol_obj,Topological_diameter_bonds,BRICS_unique_frag_count,BRICS_largest_frag_heavy_atoms,Fgroup_carbonyl,Fgroup_ester,Fgroup_amide,Fgroup_ether,Fgroup_alcohol,RingCount,AromaticAtomCount,Hybrid_SP,Hybrid_SP2,Hybrid_SP3,NumHDonors,NumHAcceptors,EState_sum,EState_max,EState_min,EState_std,EState_mean,Gasteiger_max,Gasteiger_min,Gasteiger_mean,Gasteiger_std,SASA_sum,MolLogP,TPSA,NumRotatableBonds,FractionCSP3,R_eff,D,Tg,eta
29750,CNCCN(C)CC(OC(=O)[Au])C(C)(C)O[Cu],1.4848,476.79,31.0,1.2283,5.8794e-05,2.7645e-08,1.1232e-08,1.2109e-08,0.18593,CNCCN(C)CC(OC(=O))C(C)(C)O,True,<rdkit.Chem.rdchem.Mol object at 0x1abaeca50>,9.0,5,6,1,1,0,1,1,0,0,0,3,12,2,5,38.083333333333336,10.293278769841269,-1.019034509637188,3.2350738822801963,2.538888888888889,0.29300666358636834,-0.46016247217398126,-0.08193186671404366,0.20623161115892555,122.45680488701447,-0.5498999999999992,61.8,8,0.9,7.81224244484259e-10,3.309643014172411e-10,102.039,113.25083240843507
29751,C=COCCOCC(CNC(=O)[Au])O[Cu],1.4286,447.71,31.0,1.3147,7.0883e-05,3.4702e-08,9.4701e-09,1.9812e-08,-0.1637,C=COCCOCC(CNC(=O))O,True,<rdkit.Chem.rdchem.Mol object at 0x1abaecac0>,11.0,5,4,1,0,1,2,1,0,0,0,6,7,2,4,36.83333333333333,9.83033962004606,-0.6722859977324267,3.3201335268558285,2.833333333333333,0.20671451412265085,-0.49941304728642566,-0.09801186307591611,0.23352584476766014,98.55623568416586,-0.7299999999999998,67.79,9,0.625,7.650073332915152e-10,3.3798020629877855e-10,99.32900000000001,158.67252396166134
29752,O=C([Au])NCC=CCC(N[Cu])C(=O)O,1.3929,430.68,19.0,1.4477,5.602e-05,1.1074e-08,1.3028e-08,8.2006e-09,0.46894,O=CNCC=CCC(N)C(=O)O,True,<rdkit.Chem.rdchem.Mol object at 0x1abaecb30>,9.0,3,7,2,0,1,0,1,0,0,0,8,4,3,3,38.5,10.188498755983876,-1.0250032018980428,3.9311621608719625,3.2083333333333335,0.3202919808665027,-0.4800779765149299,-0.09805336579393444,0.23330132046144003,87.36681767178523,-0.9093999999999995,92.42,6,0.42857142857142855,7.551818926401531e-10,3.4237756340001155e-10,105.55200000000002,245.71466577984708
29753,O=C(O)CC(CCCNC(=O)[Au])N[Cu],1.4551,432.7,22.0,1.4339,4.8101e-05,1.2682e-08,1.2332e-08,9.7991e-09,0.21625,O=C(O)CC(CCCNC(=O))N,True,<rdkit.Chem.rdchem.Mol object at 0x1abaecba0>,9.0,2,9,2,0,1,0,1,0,0,0,6,6,3,3,37.5,10.14678579302091,-0.8834754241202656,3.9736591176830314,3.125,0.3044170214172132,-0.48118737670865713,-0.09710212524607903,0.23049611051328453,90.8663617043051,-0.6853999999999991,92.42,7,0.7142857142857143,7.56360717346297e-10,3.418439514324555e-10,104.75400000000002,146.45056920311566
29754,O=C(O)CC(CNC(=O)[Au])N[Cu],1.3895,404.64,31.0,1.5533,5.0355e-05,9.6784e-09,1.1598e-08,7.8827e-09,0.30179,O=C(O)CC(CNC(=O))N,True,<rdkit.Chem.rdchem.Mol object at 0x1abaecc10>,7.0,2,7,2,0,1,0,1,0,0,0,6,4,3,3,34.5,9.976763038548754,-0.9581490929705214,4.190375234714853,3.45,0.30448832414088467,-0.4811865196760315,-0.10570467563365626,0.25224944116210385,72.51659547484068,-1.4655999999999987,92.42,5,0.6,7.396443384622607e-10,3.495698173847879e-10,103.94800000000001,172.95840266222964
29755,C=CC(CO[Cu])NC(C)CCCCOC(=O)[Au],1.3815,473.79,14.0,1.1966,6.5084e-05,2.8183e-08,2.2164e-08,3.474e-08,0.30949,C=CC(CO)NC(C)CCCCOC(=O),True,<rdkit.Chem.rdchem.Mol object at 0x1abaecc80>,11.0,4,6,1,1,0,1,1,0,0,0,5,10,2,4,38.166666666666664,9.851652930302823,-0.03590264655244835,2.99555994202265,2.5444444444444443,0.2925755189903046,-0.46790097751749,-0.08365540022213472,0.19166518644314204,120.96733979885565,0.8546999999999996,58.559999999999995,10,0.7272727272727273,7.795822878488008e-10,3.31661378607529e-10,99.09100000000001,136.06303832230682
29756,CCCC(O[Cu])C(=O)NC(C)C(C)NC(=O)[Au],1.3546,474.78,19.0,1.2397,5.1257e-05,2.2031e-08,8.612e-09,8.3637e-09,0.10095,CCCC(O)C(=O)NC(C)C(C)NC(=O),True,<rdkit.Chem.rdchem.Mol object at 0x1abaeccf0>,10.0,4,7,2,0,2,0,1,0,0,0,6,9,3,3,41.666666666666664,11.374864890400605,-0.9575174792139085,3.920850649376645,2.7777777777777777,0.2486170849684322,-0.3832773672480382,-0.07869413201245531,0.1984475155370289,118.54292590285877,-0.21339999999999998,78.43,7,0.8,7.801248978168442e-10,3.3143069404592725e-10,106.16400000000002,132.53932584269666
29757,O=C([Au])NCCNCCCN[Cu],1.4493,403.7,17.0,1.3075,0.00012377,2.2688e-08,1.6508e-08,1.3413e-08,0.32256,O=CNCCNCCCN,True,<rdkit.Chem.rdchem.Mol object at 0x1abaecd60>,9.0,4,4,1,0,1,0,0,0,0,0,3,7,3,3,25.5,9.734833632527085,0.688562925170068,2.78575891442478,2.55,0.2066675644069606,-0.3574020993758735,-0.10712099233654067,0.18540420109600664,82.47188279555569,-1.3291999999999988,67.15,7,0.8333333333333334,7.390711501519643e-10,3.498409270511796e-10,96.80000000000001,116.02077506991611
29758,C=C(C)CN(CCCO[Cu])CCOC(=O)[Au],1.4631,459.76,17.0,1.2338,0.0001172,5.4138e-08,3.744e-08,4.4106e-08,0.10995,C=C(C)CN(CCCO)CCOC(=O),True,<rdkit.Chem.rdchem.Mol object at 0x1abaecdd0>,9.0,5,4,1,1,0,1,1,0,0,0,5,9,1,4,36.166666666666664,9.92430075270849,0.18177398274124457,3.0271400278909657,2.583333333333333,0.2926229285286011,-0.4665359967299732,-0.08193569885361766,0.1982150949770871,111.94437153848041,0.4199,49.77,9,0.7,7.718099884052007e-10,3.350012829714792e-10,96.93,138.27389443651927
29759,NC(=O)C(CC(COC(=O)[Au])O[Cu])C(N)=O,1.3233,462.68,31.0,1.5468,0.00010597,2.6084e-08,1.2985e-08,6.9722e-09,0.13567,NC(=O)C(CC(COC(=O))O)C(N)=O,True,<rdkit.Chem.rdchem.Mol object at 0x1abaece40>,8.0,2,11,3,1,2,1,1,0,0,0,9,5,3,5,49.5,10.650155423280424,-1.249766628873772,4.630261993394333,3.5357142857142856,0.292670679722773,-0.4651464134224365,-0.09456064979153937,0.2616291567566076,97.17957317916317,-2.5027999999999992,132.71,7,0.5714285714285714,7.734404990871021e-10,3.3429505777253976e-10,115.81,202.3134514599451
