Trajectory ID,Mol smiles,Molality,Monomer Molecular Weight,Degree of Polymerization,Density,CONDUCTIVITY,TFSI Diffusivity,Li Diffusivity,Poly Diffusivity,Transference Number
9492,CC(OC(=O)[Au])C(=O)NC(CO[Cu])CC(F)F,1.4636e+0,4.8369e+2,1.9000e+1,1.4975e+0,5.9794e-5,2.7786e-8,1.1356e-8,1.0405e-8,-1.4709e-1
9493,CC(CN[Cu])C(=O)N(C)C(C)CNC(=O)[Au],1.4631e+0,4.5977e+2,1.7000e+1,1.3062e+0,3.1806e-5,1.0352e-8,6.1894e-9,5.3569e-9,2.1665e-1
9494,CCC(CO[Cu])NCC(OC(=O)[Au])C(=O)OC,1.3363e+0,4.7773e+2,1.9000e+1,1.3102e+0,3.6641e-5,2.1686e-8,1.3859e-8,1.4123e-8,1.1488e-1
9496,COCC(CCO[Cu])NC(C)CCOC(=O)[Au],1.4260e+0,4.7778e+2,1.6000e+1,1.2405e+0,1.1577e-4,6.0077e-8,2.7176e-8,4.4208e-8,2.7826e-2
9497,CC(CN(C)C(=O)CC(C)(C)OC(=O)[Au])O[Cu],1.3553e+0,4.7576e+2,1.7000e+1,1.2709e+0,1.1722e-5,1.0671e-8,6.1175e-9,6.7085e-9,-5.8549e-1
9498,CC(CNC(=O)[Au])CNC(=O)C(C)(C)N[Cu],1.4631e+0,4.5977e+2,1.7000e+1,1.2948e+0,5.9473e-5,1.5656e-8,1.3791e-8,7.9302e-9,2.2893e-1
9499,CCCCCC(O[Cu])C(OC(=O)[Au])C(=O)O,1.3231e+0,4.6272e+2,3.1000e+1,1.3201e+0,1.0431e-5,1.2520e-8,1.1390e-8,7.5634e-9,2.3541e-1
9500,CC(CCN(C)CCN[Cu])OC(=O)[Au],1.4086e+0,4.3274e+2,1.7000e+1,1.2156e+0,9.0529e-5,3.8469e-8,1.4926e-8,2.1418e-8,-2.0913e-2
9501,CC(C)N(CC(=O)O)CC(CO[Cu])OC(=O)[Au],1.4784e+0,4.7773e+2,3.1000e+1,1.3550e+0,5.7798e-5,3.1010e-8,3.1040e-8,1.8384e-8,9.5729e-2
9502,CC(C)(CCC(=O)NCCN[Cu])NC(=O)[Au],1.4125e+0,4.5977e+2,1.6000e+1,1.3134e+0,9.0054e-5,2.1281e-8,1.9222e-8,1.0854e-8,3.8025e-1
9503,CC(COC(=O)[Au])N(C)C(=O)CC(C)(C)O[Cu],1.3553e+0,4.7576e+2,1.7000e+1,1.2789e+0,3.0274e-5,2.3744e-8,1.5432e-8,1.1790e-8,4.8397e-3
9504,CCC(CNC(=O)CNCCNC(=O)[Au])N[Cu],1.3752e+0,4.7478e+2,1.4000e+1,1.3227e+0,6.7598e-5,1.5274e-8,1.2670e-8,1.0119e-8,4.1520e-1
9505,CC(CO[Cu])(COC(=O)[Au])CSCC(N)=O,1.4542e+0,4.7977e+2,2.6000e+1,1.4483e+0,1.0654e-4,2.8427e-8,1.8756e-8,1.3407e-8,1.8326e-1
9506,CC(CNC(=O)[Au])CNC(=O)CC(C)N[Cu],1.4125e+0,4.5977e+2,1.6000e+1,1.3028e+0,4.5985e-5,1.4379e-8,7.0539e-9,8.3409e-9,8.0602e-2
9507,CC(O[Cu])C(=O)N(C)CC(C)(C)OC(=O)[Au],1.4418e+0,4.6174e+2,1.9000e+1,1.3002e+0,2.8958e-5,1.6573e-8,1.1906e-8,8.5785e-9,7.1177e-2
9508,CCC(NC(=O)[Au])C(=O)NCC(C)N[Cu],1.4087e+0,4.4574e+2,1.9000e+1,1.3253e+0,3.5884e-5,1.2009e-8,5.7213e-9,6.1548e-9,3.4089e-1
9509,CC(O[Cu])C(NC(=O)[Au])C(O)=NO,1.4303e+0,4.2064e+2,3.1000e+1,1.5085e+0,3.8396e-5,1.0565e-8,9.2849e-9,7.9945e-9,3.2120e-1
9510,CC#CCC(COC(=O)[Au])NCC(C)O[Cu],1.4707e+0,4.5775e+2,1.9000e+1,1.2391e+0,4.6864e-5,4.1752e-8,2.2767e-8,2.8643e-8,-3.6724e-1
9511,CN(CC(=O)O)CC(COC(=O)[Au])O[Cu],1.4138e+0,4.4968e+2,3.1000e+1,1.4335e+0,3.8299e-5,2.1748e-8,1.7064e-8,1.5214e-8,2.1278e-1
9512,CC(C)C(=O)NC(C)(CO[Cu])COC(=O)[Au],1.3575e+0,4.6174e+2,2.6000e+1,1.2969e+0,4.7921e-5,2.0254e-8,1.4280e-8,8.9316e-9,2.1691e-1
9513,CC(OC(=O)[Au])C(CO[Cu])NC(=O)C(C)(C)C,1.4811e+0,4.7576e+2,2.6000e+1,1.2827e+0,4.7990e-5,2.2409e-8,1.4350e-8,8.6332e-9,-2.0740e-1
9514,CC(CN(C)C(C)CO[Cu])OC(=O)[Au],1.3687e+0,4.3373e+2,1.9000e+1,1.2345e+0,5.5146e-5,3.2024e-8,2.0820e-8,2.8429e-8,2.1813e-1
9515,CC(CS(=O)(=O)C(C)CO[Cu])OC(=O)[Au],1.3936e+0,4.6875e+2,1.9000e+1,1.4444e+0,5.3184e-5,1.7887e-8,9.3491e-9,8.0371e-9,8.0753e-2
9516,CC(OC(=O)[Au])C(=O)NCC(F)(F)CO[Cu],1.3945e+0,4.6966e+2,1.7000e+1,1.5282e+0,8.3283e-5,2.1728e-8,1.2287e-8,1.1059e-8,-3.3635e-3
9517,CCC(CO[Cu])NCC(CC)OC(=O)[Au],1.3937e+0,4.4775e+2,1.9000e+1,1.1983e+0,5.3463e-5,4.1144e-8,2.6071e-8,3.6376e-8,-2.4563e-1
9518,CCC(COC(=O)[Au])NC(=O)C(C)(C)CN[Cu],1.3614e+0,4.7478e+2,1.7000e+1,1.2592e+0,3.1229e-5,1.3733e-8,7.2565e-9,6.7500e-9,1.9476e-1
9519,CC(CNCCCCCCO[Cu])OC(=O)[Au],1.4533e+0,4.6178e+2,1.3000e+1,1.1894e+0,6.3072e-5,4.3500e-8,2.7988e-8,4.3932e-8,2.8344e-1
9521,CCC(CNC(=O)CC(CC)OC(=O)[Au])O[Cu],1.3553e+0,4.7576e+2,1.7000e+1,1.2839e+0,6.5094e-5,2.3767e-8,2.0252e-8,1.1381e-8,5.3587e-1
9522,CCC(C)C(=O)NCC(CN[Cu])OC(=O)[Au],1.3360e+0,4.6075e+2,3.1000e+1,1.2864e+0,2.2984e-5,1.1657e-8,4.7944e-9,4.3661e-9,4.9735e-2
9523,CC(CNC(=O)C(C)CNC(=O)[Au])N[Cu],1.4299e+0,4.4574e+2,1.7000e+1,1.3261e+0,4.1595e-5,1.2357e-8,5.9321e-9,6.5953e-9,5.0662e-2
9524,CC(CC(C)(C)CNC(=O)CO[Cu])OC(=O)[Au],1.4392e+0,4.7576e+2,1.6000e+1,1.2929e+0,4.3941e-5,1.4010e-8,1.0533e-8,1.2603e-8,2.6880e-1
9525,CC(C)(CC#N)CNC(=O)C(CNC(=O)[Au])O[Cu],1.4260e+0,4.8576e+2,3.1000e+1,1.3324e+0,3.5608e-5,9.7016e-9,1.0519e-8,6.7244e-9,3.7955e-1
9526,CN(C)CC(=O)NC(C)(CO[Cu])COC(=O)[Au],1.4743e+0,4.7675e+2,2.6000e+1,1.3150e+0,8.4297e-5,2.9555e-8,1.6743e-8,1.5649e-8,1.8828e-1
9527,CC(CNC(=O)C(C)C(C)NC(=O)[Au])N[Cu],1.4631e+0,4.5977e+2,1.7000e+1,1.3024e+0,3.0819e-5,1.0167e-8,7.5386e-9,6.3013e-9,1.8232e-1
9529,CC=CC=CC(=O)NC(CO[Cu])C(C)OC(=O)[Au],1.4157e+0,4.8576e+2,2.6000e+1,1.3088e+0,3.6968e-5,1.4439e-8,1.3633e-8,6.3331e-9,4.2349e-1
9530,CC(Cl)(CO[Cu])COC(=O)[Au],1.4084e+0,4.1107e+2,2.6000e+1,1.4757e+0,5.5012e-5,2.9120e-8,2.1268e-8,1.5449e-8,2.0665e-2
9531,C=CCNC(=O)CNC(CO[Cu])COC(=O)[Au],1.4881e+0,4.7473e+2,2.6000e+1,1.3741e+0,6.4356e-5,1.9853e-8,1.3641e-8,1.5124e-8,3.6781e-1
9532,COCC(C)NC(CN[Cu])CNC(=O)[Au],1.4582e+0,4.4776e+2,2.6000e+1,1.2860e+0,7.2886e-5,1.6482e-8,1.3937e-8,1.4269e-8,3.7337e-1
9533,CCC(C)NCC(CC(C)(C)OC(=O)[Au])O[Cu],1.4808e+0,4.7581e+2,2.6000e+1,1.1856e+0,2.0704e-5,2.4939e-8,1.3763e-8,1.3436e-8,-5.9354e-1
9534,CC(NC(=O)[Au])C(C)C(=O)NCCN[Cu],1.4299e+0,4.4574e+2,1.7000e+1,1.3353e+0,5.1111e-5,1.4908e-8,9.2120e-9,7.0426e-9,8.7016e-2
9536,C=CC(CNC(COC(=O)[Au])C(F)(F)F)O[Cu],1.4507e+0,4.8568e+2,1.9000e+1,1.4611e+0,5.6644e-5,3.2009e-8,1.2564e-8,1.2645e-8,-2.1740e-1
9537,CC(C)C(OC(=O)[Au])C(=O)NC(C)(C)CO[Cu],1.3485e+0,4.7576e+2,1.9000e+1,1.2710e+0,3.2191e-5,1.9033e-8,7.7578e-9,6.4942e-9,-3.1525e-1
9538,C#CC(CO[Cu])NC(=O)[Au],1.4392e+0,3.7161e+2,3.1000e+1,1.4090e+0,6.1020e-5,2.2379e-8,1.5287e-8,7.8214e-9,1.3067e-1
9539,CN(CC(C)(C)CN[Cu])C(=O)CCNC(=O)[Au],1.4524e+0,4.7379e+2,1.6000e+1,1.2826e+0,2.5729e-5,9.2067e-9,7.3140e-9,6.9513e-9,3.5573e-1
9540,CC(CN(CCCF)CCOC(=O)[Au])O[Cu],1.4138e+0,4.6574e+2,1.9000e+1,1.3088e+0,7.2436e-5,5.6139e-8,2.1122e-8,2.7307e-8,-3.4367e-1
9541,CNCC(C)CNC(=O)C(COC(=O)[Au])N[Cu],1.4919e+0,4.7577e+2,3.1000e+1,1.3240e+0,7.6376e-5,1.9893e-8,2.0368e-8,1.1033e-8,3.2305e-1
9542,CC(CO[Cu])(COC(=O)[Au])NC(=O)C(C)(C)C,1.4811e+0,4.7576e+2,2.6000e+1,1.2693e+0,6.4645e-5,3.4513e-8,1.3120e-8,1.4057e-8,1.0349e-2
9543,CCC(C#CC#CC=CCO[Cu])OC(=O)[Au],1.4283e+0,4.5071e+2,1.4000e+1,1.2814e+0,3.2974e-5,2.2060e-8,1.3353e-8,1.6143e-8,1.7016e-2
