Molality,Monomer Molecular Weight,Degree of Polymerization,CONDUCTIVITY,Mol_smiles_clean,is_valid,Topological_diameter_bonds,BRICS_unique_frag_count,BRICS_largest_frag_heavy_atoms,Fgroup_carbonyl,Fgroup_ester,Fgroup_amide,Fgroup_ether,Fgroup_alcohol,RingCount,AromaticAtomCount,Hybrid_SP,Hybrid_SP2,Hybrid_SP3,NumHDonors,NumHAcceptors,EState_sum,EState_max,EState_min,EState_std,EState_mean,Gasteiger_max,Gasteiger_min,Gasteiger_mean,Gasteiger_std,SASA_sum,MolLogP,TPSA,NumRotatableBonds,FractionCSP3,R_eff,D,Tg,eta
1.3553,475.76,17.0,6.1807e-05,CCC(CNC(=O)C(C)(C)COC(=O))O,True,10.0,4,6,2,1,1,1,1,0,0,0,6,9,2,4,42.75,11.572874149659864,-0.7694727891156465,3.960170416837118,2.85,0.2926100959324725,-0.46677745296246104,-0.07397639131422643,0.21992784311480004,116.64358181635144,0.07270000000000004,75.63,7,0.8,7.806612844814021e-10,3.3120297043769233e-10,105.702,131.9625468164794
1.4418,461.74,19.0,3.3848e-05,CCN(C(=O)C(C)O)C(C)COC(=O),True,8.0,5,5,2,1,1,1,1,0,0,0,6,8,1,4,40.83333333333333,11.410698223733938,-1.0197859977324264,4.014282662682669,2.9166666666666665,0.29265159737310154,-0.46571842735067814,-0.06889505132174824,0.2292859691926233,107.62061355597618,-0.2228000000000001,66.84,6,0.7777777777777778,7.72916359304962e-10,3.3452175415002225e-10,103.542,132.95448708802968
1.3546,474.78,19.0,4.7551e-05,CCC(NC(=O))C(=O)NC(C)C(C)(C)O,True,8.0,4,6,2,0,2,0,1,0,0,0,6,9,3,3,42.08333333333333,11.577685185185185,-0.9770532171201816,3.9924693360402705,2.8055555555555554,0.24236237250944764,-0.38834292255246955,-0.07639579436231637,0.1981075850389398,118.54292590285877,-0.21339999999999998,78.43,6,0.8,7.801248978168442e-10,3.3143069404592725e-10,107.16400000000002,133.78776529338327
1.4563,460.7,17.0,3.0275e-05,C=CC(OC(=O))C(=O)OCCC(C)O,True,9.0,4,5,2,2,0,2,1,0,0,0,8,6,1,5,43.33333333333333,11.086708238851095,-1.0680565003779294,4.003424259432993,3.095238095238095,0.3510677057650244,-0.4625995627898511,-0.06919634520580628,0.2549863928555822,102.06981058259203,0.02810000000000007,72.83000000000001,7,0.5555555555555556,7.72335630413985e-10,3.3477328527152584e-10,103.636,186.20962267917747
1.3741,471.73,19.0,4.2028e-05,CC#CCC(CO)NC(=O)C(C)OC(=O),True,10.0,4,7,2,1,1,1,1,0,0,2,6,7,2,4,44.33333333333333,11.311119142101285,-0.8554298941798948,3.8541537252142066,2.9555555555555553,0.2933574111332694,-0.45476920273058247,-0.07083033148927337,0.22546548083522944,110.02292520753949,-0.5616000000000001,75.63,6,0.6,7.78450793129548e-10,3.3214345544756384e-10,106.299,176.87021630615644
1.3614,474.78,17.0,3.1272e-05,CCC(C)C(CNC(=O)CCN)OC(=O),True,9.0,4,6,2,1,1,1,0,0,0,0,6,9,2,4,40.33333333333333,11.127692271352984,-0.25534769463340945,3.543656822320287,2.6888888888888887,0.2929283379813307,-0.462421737400674,-0.07502988408402839,0.21098398578586075,118.6236522676854,0.03910000000000047,81.42000000000002,8,0.8,7.801248978168442e-10,3.3143069404592725e-10,105.76200000000001,132.0374531835206
1.4987,474.78,31.0,4.1702e-05,CCCN(CC)C(=O)CC(CNC(=O))O,True,10.0,5,6,2,0,2,0,1,0,0,0,6,9,2,3,41.0,11.587596371882086,-0.7975869236583526,3.9033171557849204,2.7333333333333334,0.22473171963860347,-0.3907546343844558,-0.07636300725628851,0.1959435911850038,118.69484075721574,-0.258099999999999,69.64,8,0.8,7.801248978168442e-10,3.3143069404592725e-10,103.406,129.09612983770288
1.3421,476.79,19.0,8.59e-05,CCC(CNC(COC(=O))CN(C)C)O,True,9.0,5,5,1,1,0,1,1,0,0,0,3,12,2,5,37.66666666666667,10.076407627865962,-0.34176540060468663,3.101184611704887,2.5111111111111115,0.2926341758928086,-0.4661870299464284,-0.08594916241170635,0.20413205812053242,122.45680488701447,-0.549899999999999,61.8,9,0.9,7.81224244484259e-10,3.309643014172411e-10,101.039,112.14095449500554
1.3421,476.79,19.0,4.676e-05,CC(NCC(CN(C)C)OC(=O))C(C)O,True,8.0,5,5,1,1,0,1,1,0,0,0,3,12,2,5,38.0,10.257413076341647,-0.41552106953892687,3.134850710159835,2.533333333333333,0.2929477856438078,-0.4618590301691351,-0.08330821753612704,0.20496288193774348,122.45680488701447,-0.551499999999999,61.8,8,0.9,7.81224244484259e-10,3.309643014172411e-10,102.039,113.25083240843507
1.3578,461.69,26.0,3.3355e-05,C=CCOC(=O)NC(CO)COC(=O),True,10.0,6,4,2,2,1,2,1,0,0,0,9,5,2,5,44.0,10.898290816326531,-0.6958805744520029,3.900264777311448,3.142857142857143,0.40736416287080957,-0.46561621608538795,-0.0837102741278828,0.2657235110468588,99.90781678387401,-0.5675000000000003,84.86000000000001,7,0.5,7.728884596117845e-10,3.345338297013983e-10,106.14100000000002,211.85828343313378
